=== Experiment Config ===
Scheduler: fifo
Backend: cycle_stub
Workload: synthetic
KeySwitchMethod: fast
Seed: 123
NumCards: 1
NumUsers: 1
EnableMultiCard: false
KeySwitchMultiBoardMode: auto
SyntheticRequestsPerUser: 1
SyntheticInterArrival: 300
SyntheticStartTime: 0
BurstBursts: 4
BurstRequestsPerUserPerBurst: 2
BurstIntraGap: 20
BurstInterGap: 1200
BurstStartTime: 0
BurstLevel: 1
NumPools: 1
PoolConfigSource: built-in default
TreeConfigSource: built-in default
HEParamsSource: built-in default
CSVOutput: results/metrics_fast.csv
DumpLogicalGraph: true
DumpRuntimePlan: true
=========================
Emitted group 340: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7340032
Emitted group 341: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7077888
Emitted group 342: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6815744
Emitted group 343: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=7077888
Emitted group 344: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7077888
Emitted group 345: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7340032
Emitted group 346: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7340032
Emitted group 347: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7602176
Emitted group 348: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7340032
Emitted group 349: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7077888
Emitted group 350: store_intermediate, kind=1, bytes=524288, work_items=0, micro_ops=2, est_cycles/op=182, total_est_cycles=346, bram_live=6815744
Emitted group 351: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6291456
Emitted group 352: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=6553600
Emitted group 353: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=6553600
Emitted group 354: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=6815744
Emitted group 355: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=6815744
Emitted group 356: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7077888
Emitted group 357: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6815744
Emitted group 358: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=7077888
Emitted group 359: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7077888
Emitted group 360: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7340032
Emitted group 361: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7340032
Emitted group 362: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7602176
Emitted group 363: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7340032
Emitted group 364: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7077888
Emitted group 365: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6815744
Emitted group 366: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=7077888
Emitted group 367: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7077888
Emitted group 368: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7340032
Emitted group 369: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7340032
Emitted group 370: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7602176
Emitted group 371: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7340032
Emitted group 372: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7077888
Emitted group 373: store_intermediate, kind=1, bytes=524288, work_items=0, micro_ops=2, est_cycles/op=182, total_est_cycles=346, bram_live=6815744
Emitted group 374: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6291456
Emitted group 375: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=6553600
Emitted group 376: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=6553600
Emitted group 377: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=6815744
Emitted group 378: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=6815744
Emitted group 379: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7077888
Emitted group 380: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6815744
Emitted group 381: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=7077888
Emitted group 382: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7077888
Emitted group 383: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7340032
Emitted group 384: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7340032
Emitted group 385: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7602176
Emitted group 386: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7340032
Emitted group 387: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7077888
Emitted group 388: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6815744
Emitted group 389: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=7077888
Emitted group 390: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7077888
Emitted group 391: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7340032
Emitted group 392: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7340032
Emitted group 393: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7602176
Emitted group 394: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7340032
Emitted group 395: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7077888
Emitted group 396: store_intermediate, kind=1, bytes=524288, work_items=0, micro_ops=2, est_cycles/op=182, total_est_cycles=346, bram_live=6815744
Emitted group 397: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6291456
Emitted group 398: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=6553600
Emitted group 399: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=6553600
Emitted group 400: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=6815744
Emitted group 401: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=6815744
Emitted group 402: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7077888
Emitted group 403: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6815744
Emitted group 404: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=7077888
Emitted group 405: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7077888
Emitted group 406: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7340032
Emitted group 407: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7340032
Emitted group 408: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7602176
Emitted group 409: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7340032
Emitted group 410: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7077888
Emitted group 411: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6815744
Emitted group 412: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=7077888
Emitted group 413: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7077888
Emitted group 414: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7340032
Emitted group 415: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7340032
Emitted group 416: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7602176
Emitted group 417: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7340032
Emitted group 418: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7077888
Emitted group 419: store_intermediate, kind=1, bytes=524288, work_items=0, micro_ops=2, est_cycles/op=182, total_est_cycles=346, bram_live=6815744
Emitted group 420: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6291456
Emitted group 421: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=6553600
Emitted group 422: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=6553600
Emitted group 423: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=6815744
Emitted group 424: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=6815744
Emitted group 425: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7077888
Emitted group 426: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6815744
Emitted group 427: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=7077888
Emitted group 428: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7077888
Emitted group 429: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7340032
Emitted group 430: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7340032
Emitted group 431: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7602176
Emitted group 432: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7340032
Emitted group 433: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7077888
Emitted group 434: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6815744
Emitted group 435: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=7077888
Emitted group 436: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7077888
Emitted group 437: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7340032
Emitted group 438: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7340032
Emitted group 439: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7602176
Emitted group 440: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7340032
Emitted group 441: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7077888
Emitted group 442: store_intermediate, kind=1, bytes=524288, work_items=0, micro_ops=2, est_cycles/op=182, total_est_cycles=346, bram_live=6815744
Emitted group 443: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6291456
Emitted group 444: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=6553600
Emitted group 445: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=6553600
Emitted group 446: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=6815744
Emitted group 447: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=6815744
Emitted group 448: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7077888
Emitted group 449: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6815744
Emitted group 450: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=7077888
Emitted group 451: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7077888
Emitted group 452: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7340032
Emitted group 453: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7340032
Emitted group 454: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7602176
Emitted group 455: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7340032
Emitted group 456: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7077888
Emitted group 457: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6815744
Emitted group 458: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=7077888
Emitted group 459: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7077888
Emitted group 460: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7340032
Emitted group 461: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7340032
Emitted group 462: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7602176
Emitted group 463: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7340032
Emitted group 464: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7077888
Emitted group 465: store_intermediate, kind=1, bytes=524288, work_items=0, micro_ops=2, est_cycles/op=182, total_est_cycles=346, bram_live=6815744
Emitted group 466: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6291456
Emitted group 467: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=6553600
Emitted group 468: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=6553600
Emitted group 469: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=6815744
Emitted group 470: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=6815744
Emitted group 471: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7077888
Emitted group 472: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6815744
Emitted group 473: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=7077888
Emitted group 474: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7077888
Emitted group 475: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7340032
Emitted group 476: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7340032
Emitted group 477: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7602176
Emitted group 478: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7340032
Emitted group 479: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7077888
Emitted group 480: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6815744
Emitted group 481: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=7077888
Emitted group 482: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7077888
Emitted group 483: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7340032
Emitted group 484: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7340032
Emitted group 485: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7602176
Emitted group 486: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7340032
Emitted group 487: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7077888
Emitted group 488: store_intermediate, kind=1, bytes=524288, work_items=0, micro_ops=2, est_cycles/op=182, total_est_cycles=346, bram_live=6815744
Emitted group 489: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6291456
Emitted group 490: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=6553600
Emitted group 491: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=6553600
Emitted group 492: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=6815744
Emitted group 493: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=6815744
Emitted group 494: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7077888
Emitted group 495: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6815744
Emitted group 496: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=7077888
Emitted group 497: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7077888
Emitted group 498: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7340032
Emitted group 499: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7340032
Emitted group 500: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7602176
Emitted group 501: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7340032
Emitted group 502: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7077888
Emitted group 503: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6815744
Emitted group 504: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=7077888
Emitted group 505: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7077888
Emitted group 506: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7340032
Emitted group 507: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7340032
Emitted group 508: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7602176
Emitted group 509: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7340032
Emitted group 510: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7077888
Emitted group 511: store_intermediate, kind=1, bytes=524288, work_items=0, micro_ops=2, est_cycles/op=182, total_est_cycles=346, bram_live=6815744
Emitted group 512: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6291456
Emitted group 513: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=6553600
Emitted group 514: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=6553600
Emitted group 515: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=6815744
Emitted group 516: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=6815744
Emitted group 517: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7077888
Emitted group 518: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6815744
Emitted group 519: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=7077888
Emitted group 520: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7077888
Emitted group 521: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7340032
Emitted group 522: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7340032
Emitted group 523: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7602176
Emitted group 524: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7340032
Emitted group 525: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7077888
Emitted group 526: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6815744
Emitted group 527: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=7077888
Emitted group 528: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7077888
Emitted group 529: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7340032
Emitted group 530: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7340032
Emitted group 531: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7602176
Emitted group 532: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7340032
Emitted group 533: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7077888
Emitted group 534: store_intermediate, kind=1, bytes=524288, work_items=0, micro_ops=2, est_cycles/op=182, total_est_cycles=346, bram_live=6815744
Emitted group 535: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6291456
Emitted group 536: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=6553600
